label,mean_r
LimbicA,0.0518997423350811
DorsAttnA,0.04438002407550812
TempPar,0.032617922872304916
DefaultA,0.026481380686163902
SalVentAttnB,0.025648539885878563
LimbicB,0.02203013002872467
DefaultC,0.021965229883790016
VisCent,0.014916857704520226
SalVentAttnA,0.012135433964431286
ContA,0.006722914520651102
DorsAttnB,0.004404757171869278
DefaultB,0.0016459719045087695
ContC,-0.006980069912970066
ContB,-0.013629800640046597
SomMotB,-0.031019125133752823
SomMotA,-0.05818036571145058
VisPeri,-0.06980745494365692
