label,mean_r
ContA,0.03637833520770073
ContB,0.030267056077718735
DorsAttnA,0.029768021777272224
DefaultC,0.028448401018977165
TempPar,0.024231282994151115
DorsAttnB,0.013230475597083569
LimbicA,0.011832465417683125
SalVentAttnA,0.0024318292271345854
SalVentAttnB,-0.0019959229975938797
SomMotB,-0.003966587129980326
VisCent,-0.01036560907959938
DefaultB,-0.017338154837489128
SomMotA,-0.025313187390565872
ContC,-0.027077266946434975
DefaultA,-0.03258517384529114
LimbicB,-0.03520728647708893
VisPeri,-0.04987253248691559
